Time [s],Channel,Value
-0.011584250,2,22873
-0.011582075,1,24618
-0.011579925,2,22873
-0.011577750,1,24618
-0.011575600,2,22873
-0.011573450,1,24618
-0.011571275,2,22873
-0.011569125,1,24111
-0.011566950,2,22666
-0.011564800,1,24111
-0.011562625,2,22666
-0.011560475,1,24111
-0.011558325,2,22666
-0.011556150,1,24111
-0.011554000,2,22666
-0.011551825,1,24111
-0.011549675,2,22666
-0.011547525,1,23849
-0.011545350,2,22381
-0.011543200,1,23849
-0.011541025,2,22381
-0.011538875,1,23849
-0.011536700,2,22381
-0.011534550,1,23849
-0.011532400,2,22381
-0.011530225,1,23849
-0.011528075,2,22381
-0.011525900,1,23580
-0.011523750,2,21825
-0.011521575,1,23580
-0.011519425,2,21825
-0.011517275,1,23580
-0.011515100,2,21825
-0.011512950,1,23580
-0.011510775,2,21825
-0.011508625,1,23213
-0.011506475,2,21030
-0.011504300,1,23213
-0.011502150,2,21030
-0.011499975,1,23213
-0.011497825,2,21030
-0.011495650,1,23213
-0.011493500,2,21030
-0.011491350,1,23213
-0.011489175,2,21030
-0.011487025,1,22904
-0.011484850,2,21008
-0.011482700,1,22904
-0.011480525,2,21008
-0.011478375,1,22904
-0.011476225,2,21008
-0.011474050,1,22904
-0.011471900,2,21008
-0.011469725,1,22904
-0.011467575,2,21008
-0.011465425,1,22266
-0.011463250,2,20151
-0.011461100,1,22266
-0.011458925,2,20151
-0.011456775,1,22266
-0.011454600,2,20151
-0.011452450,1,22266
-0.011450300,2,20151
-0.011448125,1,22266
-0.011445975,2,20151
-0.011443800,1,21668
-0.011441650,2,19951
-0.011439475,1,21668
-0.011437325,2,19951
-0.011435175,1,21668
-0.011433000,2,19951
-0.011430850,1,21668
-0.011428675,2,19951
-0.011426525,1,21849
-0.011424375,2,19453
-0.011422200,1,21849
-0.011420050,2,19453
-0.011417875,1,21849
-0.011415725,2,19453
-0.011413550,1,21849
-0.011411400,2,19453
-0.011409250,1,21849
-0.011407075,2,19453
-0.011404925,1,21285
-0.011402750,2,18840
